height,slope_avg,river_distance_avg,drainscore_avg,permeable,distance_avg,length_sew,numpoints,dept_avg
419.0,8.0,197.0,4.0,1,1081.0,0.0,0.0,0.0
228.0,7.0,1007.0,4.0,1,712.0,0.0,0.0,0.0
328.0,6.5,338.0,4.0,1,302.0,0.0,0.0,0.0
202.5,6.0,151.0,2.0,1,32.0,0.0,0.0,0.0
539.0,5.0,391.0,4.0,1,647.0,0.0,0.0,0.0
209.5,4.0,324.0,4.0,1,356.0,0.0,0.0,0.0
310.0,3.0,659.0,4.0,1,475.0,0.0,0.0,0.0
1441.25,17.0,724.0,4.0,1,1404.0,0.0,0.0,0.0
493.5,16.0,682.0,4.0,1,259.0,0.0,0.0,0.0
725.0,7.5,1099.0,4.0,1,465.0,0.0,0.0,0.0
196.5,2.0,470.0,4.0,1,71.0,30.0,2.0,0.0
190.0,4.5,473.0,4.0,1,515.0,0.0,0.0,0.0
65.5,5.0,105.0,4.0,1,1108.0,0.0,0.0,0.0
453.5,3.5,116.0,4.0,1,1585.0,20.0,0.0,0.0
82.0,9.0,138.0,4.0,1,651.0,0.0,0.0,0.0
684.0,18.0,405.0,4.0,1,676.0,0.0,0.0,0.0
47.5,4.0,305.0,4.0,1,115.0,0.0,0.0,0.0
154.0,2.5,886.0,4.0,1,500.0,15.0,2.0,0.0
576.0,4.0,71.0,4.0,1,615.0,0.0,0.0,0.0
226.0,4.0,646.0,4.0,1,155.0,0.0,0.0,0.0
621.5,7.5,525.0,4.0,1,1173.0,0.0,0.0,0.0
170.5,2.0,603.0,4.0,1,212.0,20.166666666666668,2.0,0.0
590.5,7.0,171.0,4.0,1,939.0,0.0,0.0,0.0
443.0,2.0,82.0,4.0,0,1418.0,0.0,0.0,0.0
724.5,7.5,1336.0,4.0,1,1799.0,0.0,0.0,0.0
339.0,7.0,710.0,4.0,1,381.0,0.0,0.0,0.0
999.3333333333334,11.0,1232.0,5.0,1,1275.0,0.0,0.0,0.0
713.5,5.0,1202.0,4.0,1,2098.0,0.0,0.0,0.0
265.5,3.5,221.0,4.0,1,198.0,0.0,0.0,0.0
400.0,5.0,708.0,4.0,1,162.0,0.0,0.0,0.0
